cve_institucion,cve_periodo,cve_tipo_moneda,responsabilidad,tasa,plazo
040002,201512,0,1.42718E+11,6.741509788,35.25411964
040002,201512,1,68891101479,2.800876436,24.99098777
040002,201512,2,39899117,0.124790463,10.09047937
040002,201612,0,1.73709E+11,8.473255295,38.11683006
040002,201612,1,69787936859,3.263994758,29.14714301
040002,201612,2,40634627,0.023270793,0.072338657
040012,201512,0,2.2883E+11,7.401002039,37.83426115
040012,201512,1,1.2515E+11,3.275610455,52.90826448
040012,201612,0,2.8084E+11,8.182513769,35.61148397
040012,201612,1,1.43347E+11,3.538190583,63.56551692
040012,201612,2,7479928,9.2629,58.1189
040014,201512,0,2.01355E+11,7.451727508,30.58862256
040014,201512,1,66233272372,3.300555049,30.2517851
040014,201512,2,427868,10,29.92
040014,201612,0,2.21457E+11,9.52218032,28.07088588
040014,201612,1,72687957717,3.648999636,40.34000601
040014,201612,2,215400,10,20
040021,201512,0,93233047569,6.466742789,34.25343897
040021,201512,1,33853302660,3.097518368,20.28801852
040021,201612,0,99020843192,8.371445231,28.50231198
040021,201612,1,41256093535,3.36933421,12.86750071
040036,201512,0,90267578038,7.403947025,108.207952
040036,201512,1,61165884481,4.800904165,51.02223129
040036,201612,0,83156727584,8.977548063,137.6155001
040036,201612,1,94104887782,5.842921138,70.6110567
040044,201512,0,61530998699,5.910119375,30.47989675
040044,201512,1,16392821505,3.819862865,38.56786242
040044,201612,0,80325812951,8.156843011,32.2964398
040044,201612,1,16521752459,4.551502112,29.58102213
040072,201512,0,1.50103E+11,6.91339228,56.2133003
040072,201512,1,31893293170,4.458683246,53.62420662
040072,201512,2,74095,10,11
040072,201612,0,1.67586E+11,9.056843437,51.93607561
040072,201612,1,39762656519,4.307358157,50.6521112
5,201512,0,1.22899E+12,7.150056142,49.7555566
5,201512,1,4.52461E+11,3.788957774,46.69753362
5,201512,2,40814749,0.278373289,10.23040045
5,201612,0,1.4364E+12,9.087420692,53.71283762
5,201612,1,5.35008E+11,4.130130641,50.21430498
5,201612,2,48522342,1.531455696,9.178395931
